 0.5687843 +38.906066  722.28 19 AND
10.0481195 -33.230888  238.90 62 ANT
15.9431131 -74.886215  206.33 67 APS
22.2975294 -10.788425  979.85 10 AQR
19.5423650 +01.814063  652.47 22 AQL
17.1591492 -53.946651  237.06 63 ARA
 2.5451822 +19.418514  441.39 39 ARI
 5.7960128 +40.597249  657.44 21 AUR
14.5372707 +29.651026  906.83 13 BOO
 4.6725361 -38.245764  124.86 81 CAE
 6.1922732 +68.490709  756.83 18 CAM
 8.5638461 +19.630797  505.87 31 CNC
13.0521067 +40.709316  465.19 38 CVN
 6.7416667 -21.714885  380.12 43 CMA
 7.5181083 +06.176384  183.37 71 CMI
20.9045726 -19.038017  413.95 40 CAP
 8.9077129 -60.873835  494.18 34 CAR
 1.0377319 +60.915857  598.41 25 CAS
12.9519490 -44.344395 1060.42  9 CEN
22.9007596 +70.154635  587.79 27 CEP
 1.5160005 -09.365942 1231.41  4 CET
10.6666667 -78.338584  131.59 79 CHA
14.6056458 -62.546154   93.35 85 CIR
 5.7197549 -35.485725  270.18 54 COL
12.6497577 +22.907700  386.47 42 COM
18.5000000 -41.157811  127.70 80 CRA
15.8052789 +32.465103  178.71 73 CRB
12.3157607 -17.403543  183.80 70 CRV
11.3029683 -14.964455  282.40 53 CRT
12.3333333 -59.299916   68.45 88 CRU
20.5363597 +42.102059  803.98 16 CYG
20.5810846 +11.713187  188.55 69 DEL
 5.0945678 -61.138558  179.17 72 DOR
16.6416541 +64.425592 1082.95  8 DRA
21.0990380 +06.954334   71.64 87 EQU
 3.6504205 -21.162437 1137.92  6 ERI
 2.6778087 -31.742042  397.50 41 FOR
 7.0299004 +23.449576  513.76 30 GEM
22.4092298 -45.574658  365.51 45 GRU
17.2052467 +28.254798 1225.15  5 HER
 3.1720763 -53.440100  248.88 58 HOR
10.4663294 -16.493166 1302.84  1 HYA
 2.3402910 -71.553633  243.04 61 HYI
21.4583866 -58.678012  294.01 49 IND
22.4087673 +44.400900  200.69 68 LAC
10.5821978 +15.432460  946.96 12 LEO
10.2289410 +33.948208  231.96 64 LMI
 5.4838183 -19.083433  290.29 51 LEP
15.1086254 -14.688630  538.05 29 LIB
15.1436393 -41.737364  333.68 46 LUP
 7.8650820 +46.570832  545.39 28 LYN
18.7701678 +36.378758  286.48 52 LYR
 5.5833333 -77.179896  153.48 75 MEN
20.8333333 -36.416869  209.51 66 MIC
 6.9143559 -02.492762  481.57 35 MON
12.4495819 -69.064266  138.35 77 MUS
15.9152219 -51.179670  165.29 74 NOR
19.6985755 -82.965734  291.05 50 OCT
17.1914181 -05.080739  948.34 11 OPH
 5.4840508 +05.054417  594.12 26 ORI
19.4082146 -65.051692  377.67 44 PAV
22.6002993 +18.464080 1120.79  7 PEG
 3.3569651 +43.450359  615.00 24 PER
 0.6682251 -47.870625  469.32 37 PHE
 5.5711576 -52.312966  246.74 59 PIC
 0.5402080 +10.082672  889.42 14 PSC
22.1666667 -31.133201  245.37 60 PSA
 7.5398423 -32.681749  673.43 20 PUP
 8.8236315 -27.912696  220.83 65 PYX
 3.8605385 -61.075349  113.94 82 RET
19.6174670 +18.335006   79.92 86 SGE
19.0553619 -27.292995  867.43 15 SGR
16.6564507 -31.589319  496.78 33 SCO
 0.3621773 -32.406325  474.76 36 SCL
18.5583333 -09.963043  109.11 84 SCT
15.5940220 +10.281479  428.48 23 SER1
18.0475271 -06.337702  208.44 23 SER2
16.3969682 +04.842604  636.93 23 SER
10.1666667 -01.983517  313.52 47 SEX
 4.3027434 +16.550038  797.25 17 TAU
19.1666667 -51.010176  251.51 57 TEL
 2.0178012 +31.462292  131.85 78 TRI
15.8687496 -65.288251  109.98 83 TRA
23.7861203 -64.612129  294.56 48 TUC
10.8587154 +53.197493 1279.66  3 UMA
15.2945791 +76.560850  255.86 56 UMI
 9.5463759 -46.847967  499.65 32 VEL
13.1825632 -01.978701 1294.43  2 VIR
 7.8083333 -69.029011  141.35 76 VOL
20.1969092 +24.138347  268.17 55 VUL
